code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
09001,Fairfield,09,624.9692196,1510.964013,40.8,0,0,0,0,0,0,0,0,892843,905342,911196,918892,926233,934215,939983,941618,947328,944348,943926,944306
09003,Hartford,09,734.9333028,1213.9237623,40.4,0,0,0,0,0,0,0,0,874409,887976,890588,893504,895827,897374,896943,895699,897417,894730,893561,892153
09005,Litchfield,09,920.5144213,196.7845324,47.5,0,0,0,0,0,0,0,0,188411,189916,189719,189277,188629,187542,186304,185141,184454,183031,182002,181143
09007,Middlesex,09,369.3040332,440.6721437,45.8,0,0,0,0,0,0,0,0,164004,164774,165274,165639,165690,165534,165165,164438,164110,163368,163053,162742
09009,New Haven,09,604.3047363,1416.0620438,40.5,0,0,0,0,0,0,0,0,843532,856688,858759,860995,862611,863148,862224,860874,862127,859339,857513,855733
09011,New London,09,665.0648528,401.2661305,41.4,0,0,0,0,0,0,0,0,266183,272360,272891,273723,274090,274071,273185,272033,270772,268881,267390,266868
09013,Tolland,09,410.3519577,367.8476419,37.6,0,0,0,0,0,0,0,0,148526,151073,151774,152137,152366,152251,151948,151689,151596,151269,151063,150947
09015,Windham,09,512.9277067,227.43361,41.2,0,0,0,0,0,0,0,0,116579,117708,117971,118046,118115,117918,117470,117078,116674,116538,116566,116657
23001,Androscoggin,23,467.9529543,230.7026786,40.7,0,0,0,0,0,0,0,0,106765,107882,107785,107766,107634,107470,107393,107376,107317,107444,107602,107958
23003,Aroostook,23,6671.0817567,10.1079559,48,0,0,0,0,0,0,0,0,71974,72412,72143,71757,71230,70653,70005,69405,68840,68269,67809,67431
23005,Cumberland,23,836.2222704,352.2030092,42.1,0,0,0,0,0,0,0,0,276227,279994,281044,282143,283046,284351,286119,288204,289173,290944,292307,294520
23007,Franklin,23,1697.0041213,17.6387315,46.5,0,0,0,0,0,0,0,0,29757,30657,30697,30704,30660,30569,30402,30270,30177,30019,29982,29933
23009,Hancock,23,1587.1269001,34.5479621,49.1,0,0,0,0,0,0,0,0,53299,54309,54422,54470,54557,54581,54658,54483,54468,54541,54601,54832
23011,Kennebec,23,867.4762771,140.8199892,44.1,0,0,0,0,0,0,0,0,120777,121925,122008,122022,121757,121507,121112,120953,121289,121545,121753,122158
23013,Knox,23,365.1455044,109.0222925,48.6,0,0,0,0,0,0,0,0,40897,40111,39972,39848,39694,39653,39723,39717,39700,39823,39759,39809
23015,Lincoln,23,455.8662362,75.4936367,51.2,0,0,0,0,0,0,0,0,34789,34719,34579,34440,34297,34237,34156,34165,34021,34067,34201,34415
23017,Oxford,23,2076.9556577,27.8007861,47.8,0,0,0,0,0,0,0,0,56414,57867,57892,57814,57657,57517,57421,57299,57230,57325,57550,57741
23019,Penobscot,23,3397.1944787,44.6533164,42.2,0,0,0,0,0,0,0,0,148501,152934,153400,153742,153649,153627,153437,152978,152284,151748,151774,151696
23021,Piscataquis,23,3960.8588091,4.2576625,51.5,0,0,0,0,0,0,0,0,17079,17555,17518,17432,17343,17271,17156,17044,16960,16887,16836,16864
23023,Sagadahoc,23,253.9724956,140.645151,47.2,0,0,0,0,0,0,0,0,36511,35688,35546,35394,35194,35102,35092,35134,35149,35277,35452,35720
23025,Somerset,23,3924.2668852,12.8872479,46.9,0,0,0,0,0,0,0,0,51175,52261,52228,52098,51942,51762,51577,51363,50994,50710,50520,50573
23027,Waldo,23,729.9705084,54.4172669,46.2,0,0,0,0,0,0,0,0,38319,38740,38737,38761,38819,38904,38976,39071,39280,39418,39539,39723
23029,Washington,23,2562.7284186,12.2439818,48.5,0,0,0,0,0,0,0,0,32590,33154,33015,32832,32621,32397,32191,31925,31822,31694,31491,31378
23031,York,23,991.1851486,207.9066664,45.3,0,0,0,0,0,0,0,0,201306,197457,197557,197861,198220,198934,199682,200536,201454,203102,204316,206074
25001,Barnstable,25,394.2130838,541.5979549,53.7,0,0,0,0,0,0,0,0,222629,217483,216639,216021,215449,215167,214766,214703,213900,213690,213496,213505
25003,Berkshire,25,926.8731601,135.8621712,47.2,0,0,0,0,0,0,0,0,130168,131528,131221,130866,130545,130064,129288,128563,127751,127328,126425,125927
25005,Bristol,25,553.1117128,1018.4217527,41,0,0,0,0,0,0,0,0,545210,546433,547305,548739,549870,551065,552763,554868,557016,558905,561037,563301
25007,Dukes,25,103.2023263,168.8915418,49,0,0,0,0,0,0,0,0,15675,16155,16353,16581,16739,16915,17048,17137,17275,17313,17312,17430
25009,Essex,25,492.5204897,1597.9802192,40.9,0,0,0,0,0,0,0,0,734889,735642,739505,744961,750808,757395,763849,769362,775860,781024,783676,787038
25011,Franklin,25,699.2072996,100.8699423,47,0,0,0,0,0,0,0,0,71826,71523,71495,71489,71408,71300,71144,70916,70926,70935,70577,70529
25013,Hampden,25,617.0043548,756.3107073,39.4,0,0,0,0,0,0,0,0,468171,462270,462752,464072,465144,466447,468041,468072,469188,469116,467871,466647
25015,Hampshire,25,527.2351928,306.0512693,36.6,0,0,0,0,0,0,0,0,155160,157326,157630,158850,159267,160328,160759,161035,161197,161159,161032,161361
25017,Middlesex,25,817.8628933,1963.530823,38.5,0,0,0,0,0,0,0,0,1480260,1479491,1491762,1507558,1522533,1539832,1556116,1567610,1582857,1595192,1600842,1605899
25019,Nantucket,25,46.1921934,242.7249969,41.7,0,0,0,0,0,0,0,0,11013,10069,10135,10194,10224,10414,10556,10694,10912,11101,11168,11212
25021,Norfolk,25,396.1028722,1776.6596745,40.9,0,0,0,0,0,0,0,0,657506,662077,666426,672078,677296,682860,687721,691218,694389,698249,700437,703740
25023,Plymouth,25,658.5049595,787.5369692,42.7,0,0,0,0,0,0,0,0,492313,490784,492934,495407,497386,500772,503681,506657,509114,512135,515303,518597
25025,Suffolk,25,58.2532794,13753.0798069,33,0,0,0,0,0,0,0,0,730630,704460,713089,724502,735701,747928,758919,767719,780685,791766,796605,801162
25027,Worcester,25,1510.6691686,547.2111414,40.2,0,0,0,0,0,0,0,0,795726,791855,794981,799277,802688,806804,810935,813589,818249,822280,824772,826655
33001,Belknap,33,401.8469627,152.2320825,47.9,0,0,0,0,0,0,0,0,61102,60142,60166,60206,60216,60252,60399,60392,60383,60640,60887,61174
33003,Carroll,33,931.8628389,52.0044345,53.4,0,0,0,0,0,0,0,0,47591,47772,47817,47761,47694,47623,47513,47416,47524,47840,48138,48461
33005,Cheshire,33,706.7082305,107.597445,43,0,0,0,0,0,0,0,0,77174,77445,77301,77106,76896,76596,76430,76320,76109,76263,76042,76040
33007,Coos,33,1794.5723049,17.5451276,48.7,0,0,0,0,0,0,0,0,32217,33445,33224,32872,32520,32202,31870,32219,32119,32038,31741,31486
33009,Grafton,33,1708.5972896,52.8685142,43.3,0,0,0,0,0,0,0,0,85626,88356,88696,88985,89166,89360,89341,89164,89280,89811,89777,90331
33011,Hillsborough,33,876.525043,473.808482,40.8,0,0,0,0,0,0,0,0,402576,399555,400243,401101,402017,402776,403972,404948,406371,411087,413035,415305
33013,Merrimack,33,932.8984784,161.756079,43.1,0,0,0,0,0,0,0,0,148156,146785,146785,146742,146710,146880,147262,147715,147958,149452,149917,150902
33015,Rockingham,33,695.3907629,443.2198649,44.7,0,0,0,0,0,0,0,0,296680,294638,295162,295872,296718,297702,299006,300365,302479,305129,306359,308211
33017,Strafford,33,367.4699246,354.2085795,36.8,0,0,0,0,0,0,0,0,121656,122158,122859,123295,123836,124387,125273,125913,126552,128237,129124,130161
33019,Sullivan,33,537.8751721,80.2658353,46.9,0,0,0,0,0,0,0,0,42641,43643,43658,43534,43398,43291,43135,43051,43073,43125,43104,43173
34001,Atlantic,34,555.5138356,476.4057762,41.8,0,0,0,0,0,0,0,0,270016,273162,273674,274402,274960,275325,275376,274026,272926,268539,266105,264650
34003,Bergen,34,232.7880598,4000.5273501,41.9,0,0,0,0,0,0,0,0,888546,896482,900730,906781,912795,920456,926330,930310,937920,929999,930390,931275
34005,Burlington,34,799.2839609,558.3760238,41.6,0,0,0,0,0,0,0,0,446301,447861,448095,449117,449964,450155,450556,450236,449192,446367,445702,446301
34007,Camden,34,221.3620504,2289.1051064,38.8,0,0,0,0,0,0,0,0,516937,513574,513582,513660,513512,512632,511998,511145,510996,507367,506738,506721
34009,Cape May,34,251.5214093,368.561071,50.3,0,0,0,0,0,0,0,0,97127,97684,97265,96987,96684,96286,95805,95404,94549,93705,93086,92701
34011,Cumberland,34,483.3602636,310.5033891,37.6,0,0,0,0,0,0,0,0,155266,155456,156142,156864,157342,157429,157035,155744,154952,153400,151906,150085
34013,Essex,34,126.0844378,6334.6279214,37.7,0,0,0,0,0,0,0,0,771353,780872,781668,783840,785853,789616,791609,792586,800401,793555,795404,798698
34015,Gloucester,34,322.0068749,906.0210285,40.4,0,0,0,0,0,0,0,0,284552,285223,287036,288187,289098,289705,290298,291286,291372,290852,291165,291745
34017,Hudson,34,46.1935459,14545.8199106,35.3,0,0,0,0,0,0,0,0,593615,622123,627589,636194,644605,654878,662619,668526,679756,668631,670046,671923
34019,Hunterdon,34,427.834194,292.3165137,46.6,0,0,0,0,0,0,0,0,129517,128458,128355,127996,127047,126746,126250,125708,125717,125051,124823,125063
